your,vos,2023-02-24
we,on,2023-02-24
my,mon,2023-02-24
mom,maman,2023-02-24
world,monde,2023-02-24
by,par,2023-02-24
Hi,salut,2023-02-24
them,les,2023-02-24
Well,bon,2023-02-24
the,le,2023-02-24
a,une,2023-02-24
your,votre,2023-02-24
this,cette,2023-02-24
person,personne,2023-02-24
others,autres,2023-02-24
should,faut,2023-02-24
they,ils,2023-02-24
never,jamais,2023-02-24
money,argent,2023-02-24
this,cet,2023-02-24
without,sans,2023-02-24
some,quelque,2023-02-24
arrived,arrive,2023-02-24
small,petit,2023-02-24
has,a,2023-02-24
his,ses,2023-02-24
take,prendre,2023-02-24
is,est,2023-02-24
yeah,ouais,2023-02-24
little,peu,2023-02-24
do,fais,2023-02-24
sir,monsieur,2023-02-24
when,quand,2023-02-24
night,nuit,2023-02-24
people,gens,2023-02-24
my,ma,2023-02-24
your,ton,2023-02-24
what,quel,2023-02-24
she,elle,2023-02-24
So,donc,2023-02-24
always,toujours,2023-02-24
wrong,mal,2023-02-24
to,au,2023-02-24
take,prendre,2023-02-24
day,jour,2023-02-24
had,avait,2023-02-24
dead,mort,2023-02-24
again,encore,2023-02-24
small,petit,2023-02-24
you,tu,2023-02-24
rest,reste,2023-02-24
you,toi,2023-02-24
these,ces,2023-02-24
if,si,2023-02-24
can,peut,2023-02-24
in,dans,2023-02-24
name,nom,2023-02-24
to,pour,2023-02-24
by,parce,2023-02-24
seen,vu,2023-02-24
what,quel,2023-02-24
quickly,vite,2023-02-24
my,mes,2023-02-24
others,autres,2023-02-24
before,avant,2023-02-24
not,ne,2023-02-24
have,avez,2023-02-24
Also,aussi,2023-02-24
never,jamais,2023-02-24
go,allez,2023-02-24
yeah,ouais,2023-02-24
thought,pense,2023-02-24
