who,qui,2023-02-13
must,dois,2023-02-16
them,les,2023-02-16
of,de,2023-02-16
shit,merde,2023-02-16
that,que,2023-02-12
have,avez,2023-02-12
had,avait,2023-02-12
had,avait,2023-02-16
since,depuis,2023-02-16
name,nom,2023-02-16
my,mon,2023-02-15
the,le,2023-02-16
to,pour,2023-02-10
dad,papa,2023-02-16
you,tu,2023-02-16
in,dans,2023-02-16
you,toi,2023-02-16
by,par,2023-02-14
go,allez,2023-02-16
need,besoin,2023-02-16
Hi,salut,2023-02-16
must,doit,2023-02-16
by,parce,2023-02-16
and,et,2023-02-16
always,toujours,2023-02-16
what,quel,2023-02-16
believe,crois,2023-02-16
other,autre,2023-02-16
have,ont,2023-02-16
our,nos,2023-02-16
you,te,2023-02-16
good,bonne,2023-02-16
go,vas,2023-02-16
more,plus,2023-02-16
the,la,2023-02-16
many,beaucoup,2023-02-16
in,en,2023-02-16
money,argent,2023-02-16
on,sur,2023-02-16
daughter,fille,2023-02-16
sir,monsieur,2023-02-16
again,encore,2023-02-16
dead,mort,2023-02-16
then,alors,2023-02-16
without,sans,2023-02-16
others,autres,2023-02-16
what,quoi,2023-02-16
Nope,non,2023-02-16
hello,bonjour,2023-02-16
thought,pense,2023-02-16
this,cette,2023-02-16
come,viens,2023-02-16
my,mes,2023-02-16
can,peux,2023-02-16
have,ai,2023-02-16
my,ma,2023-02-16
go,aller,2023-02-16
have,avons,2023-02-16
as,comme,2023-02-16
people,gens,2023-02-16
evening,soir,2023-02-16
want,veux,2023-02-16
that,cela,2023-02-16
take,prendre,2023-02-16
that,ca,2023-02-16
their,leur,2023-02-16
this,ce,2023-02-16
Where,ou,2023-02-16
this,cet,2023-02-16
she,elle,2023-02-16
all,tous,2023-02-16
when,quand,2023-02-16
had,avais,2023-02-16
is,est,2023-02-16
to,au,2023-02-16
yes,oui,2023-02-16
you,vous,2023-02-16
before,avant,2023-02-16
go,vais,2023-02-16
can,peut,2023-02-16
small,petit,2023-02-16
am,suis,2023-02-16
home,maison,2023-02-16
year,ans,2023-02-16
our,notre,2023-02-16
all,toute,2023-02-16
So,donc,2023-02-16
not,pas,2023-02-16
to,pour,2023-02-16
can,peut,2023-02-16
your,ta,2023-02-16
god,dieu,2023-02-16
