list,ls,2023-02-19
remove,rm,2023-02-12
copy,cp,2023-02-19
list,ls,2023-02-18
write,echo,2023-02-21
remove,rm,2023-02-22
write,echo,2023-02-12
list,ls,2023-02-20
copy,cp,2023-02-22
cp,copy,2023-02-23
echo,write,2023-02-20
cat,print,2023-02-23
init,initialization,2023-02-23
init,initialization,2023-02-23
cat,print,2023-02-23
kill,signal,2023-02-23
sudo,admin,2023-02-23
ls,list,2023-02-23
grep,searsh,2023-02-23
init,initialization,2023-02-23
rm,remove,2023-02-23
grep,searsh,2023-02-23
sudo,admin,2023-02-23
cat,print,2023-02-23
grep,searsh,2023-02-23
rm,remove,2023-02-13
ls,list,2023-02-13
kill,signal,2023-02-23
